Orchard,Date,NECB_increment_gC_m2,Increment_type,Cumulative_NECB_gC_m2
LD,2023-12-31,0,Starting value,0
LD,2024-01-01,0.46404537133867607,Daily NEE,0.46404537133867607
LD,2024-01-02,0.5268010390260001,Daily NEE,0.9908464103646761
LD,2024-01-03,0.29101082160758507,Daily NEE,1.2818572319722612
LD,2024-01-04,0.49296498668076805,Daily NEE,1.7748222186530294
LD,2024-01-05,0.5362759119585131,Daily NEE,2.3110981306115423
LD,2024-01-06,0.5891781544045721,Daily NEE,2.9002762850161146
LD,2024-01-07,0.891453112328057,Daily NEE,3.7917293973441715
LD,2024-01-08,0.9405417090198851,Daily NEE,4.732271106364056
LD,2024-01-09,1.11878015101767,Daily NEE,5.851051257381727
LD,2024-01-10,0.9688665717606227,Daily NEE,6.81991782914235
LD,2024-01-11,0.9857685816850349,Daily NEE,7.805686410827384
LD,2024-01-12,0.80515717126008,Daily NEE,8.610843582087464
LD,2024-01-13,0.900792588502697,Daily NEE,9.51163617059016
LD,2024-01-14,0.7545328764192,Daily NEE,10.26616904700936
LD,2024-01-15,0.8348037031440001,Daily NEE,11.10097275015336
LD,2024-01-16,0.836119126296,Daily NEE,11.93709187644936
LD,2024-01-17,0.8356685345205491,Daily NEE,12.772760410969909
LD,2024-01-18,0.7648075015281021,Daily NEE,13.53756791249801
LD,2024-01-19,0.7138936116574801,Daily NEE,14.251461524155491
LD,2024-01-20,0.6946805269453069,Daily NEE,14.946142051100798
LD,2024-01-21,0.6890720194627169,Daily NEE,15.635214070563515
LD,2024-01-22,0.707539836647431,Daily NEE,16.34275390721095
LD,2024-01-23,0.7596820220373259,Daily NEE,17.102435929248273
LD,2024-01-24,0.7122082259254099,Daily NEE,17.81464415517368
LD,2024-01-25,0.6755562480578158,Daily NEE,18.490200403231498
LD,2024-01-26,0.6875818180792379,Daily NEE,19.177782221310736
LD,2024-01-27,0.598618892187556,Daily NEE,19.77640111349829
LD,2024-01-28,0.4815831371588511,Daily NEE,20.25798425065714
LD,2024-01-29,0.8679368246393461,Daily NEE,21.12592107529649
LD,2024-01-30,0.9231766385416801,Daily NEE,22.04909771383817
LD,2024-01-31,0.9158033666930401,Daily NEE,22.96490108053121
LD,2024-02-01,0.373535013151472,Daily NEE,23.33843609368268
LD,2024-02-02,0.717143192085156,Daily NEE,24.055579285767838
LD,2024-02-03,0.5656950096678162,Daily NEE,24.621274295435654
LD,2024-02-04,0.17038650498050398,Daily NEE,24.791660800416157
LD,2024-02-05,0.180962463275486,Daily NEE,24.97262326369164
LD,2024-02-06,0.22595585633762702,Daily NEE,25.19857912002927
LD,2024-02-07,0.39620541720714203,Daily NEE,25.59478453723641
LD,2024-02-08,0.5447592734760002,Daily NEE,26.13954381071241
LD,2024-02-09,2.0304618301727997,Daily NEE,28.17000564088521
LD,2024-02-10,1.84164775109066,Daily NEE,30.01165339197587
LD,2024-02-11,1.7168863200876,Daily NEE,31.72853971206347
LD,2024-02-12,0.540576298038692,Daily NEE,32.26911601010216
LD,2024-02-13,0.9749545818158829,Daily NEE,33.244070591918046
LD,2024-02-14,1.1337218963786597,Daily NEE,34.377792488296706
LD,2024-02-15,1.32884981013224,Daily NEE,35.706642298428946
LD,2024-02-16,1.87809849007228,Daily NEE,37.58474078850123
LD,2024-02-17,1.6151072916449098,Daily NEE,39.19984808014614
LD,2024-02-18,1.09127510782721,Daily NEE,40.29112318797335
LD,2024-02-19,0.7020063412566228,Daily NEE,40.99312952922997
LD,2024-02-20,0.988108926576338,Daily NEE,41.981238455806306
LD,2024-02-21,1.1847679899355403,Daily NEE,43.16600644574184
LD,2024-02-22,-0.15311127143609904,Daily NEE,43.01289517430575
LD,2024-02-23,-0.07619192628625784,Daily NEE,42.93670324801949
LD,2024-02-24,-0.19811741886226805,Daily NEE,42.73858582915722
LD,2024-02-25,-0.108409792862486,Daily NEE,42.630176036294735
LD,2024-02-26,0.320039711998128,Daily NEE,42.95021574829286
LD,2024-02-27,0.760621805969229,Daily NEE,43.71083755426209
LD,2024-02-28,0.661789262445445,Daily NEE,44.37262681670754
LD,2024-02-29,0.30127250835783603,Daily NEE,44.67389932506537
LD,2024-03-01,0.32174101364687197,Daily NEE,44.99564033871224
LD,2024-03-02,0.0031336845263998502,Daily NEE,44.99877402323864
LD,2024-03-03,0.138644897508884,Daily NEE,45.13741892074752
LD,2024-03-04,1.0056430950224695,Daily NEE,46.14306201576999
LD,2024-03-05,1.4255908761699696,Daily NEE,47.56865289193996
LD,2024-03-06,0.3203080746950411,Daily NEE,47.888960966635004
LD,2024-03-07,0.46790746539566613,Daily NEE,48.35686843203067
LD,2024-03-08,1.2345113162205499,Daily NEE,49.59137974825122
LD,2024-03-09,1.77281230157704,Daily NEE,51.36419204982826
LD,2024-03-10,0.916274387435698,Daily NEE,52.28046643726396
LD,2024-03-11,1.1366401774918102,Daily NEE,53.417106614755774
LD,2024-03-12,1.5612826302149398,Daily NEE,54.978389244970714
LD,2024-03-13,1.2300453682794699,Daily NEE,56.20843461325018
LD,2024-03-14,3.1739344241239102,Daily NEE,59.38236903737409
LD,2024-03-15,-0.598984684438117,Daily NEE,58.783384352935975
LD,2024-03-16,1.6648678683975102,Daily NEE,60.44825222133348
LD,2024-03-17,0.6752074432442939,Daily NEE,61.12345966457778
LD,2024-03-18,1.2176014951266896,Daily NEE,62.341061159704466
LD,2024-03-19,-0.23067621072,Daily NEE,62.11038494898447
LD,2024-03-20,2.5365732172962,Daily NEE,64.64695816628067
LD,2024-03-21,0.799053642469212,Daily NEE,65.44601180874989
LD,2024-03-22,3.800634848796381,Daily NEE,69.24664665754626
LD,2024-03-23,0.182729676385465,Daily NEE,69.42937633393173
LD,2024-03-24,0.252508298173763,Daily NEE,69.6818846321055
LD,2024-03-25,-0.5398979361120001,Daily NEE,69.1419866959935
LD,2024-03-26,-0.7007095436953851,Daily NEE,68.44127715229811
LD,2024-03-27,0.32778069909696006,Daily NEE,68.76905785139508
LD,2024-03-28,-1.2034690796950598,Daily NEE,67.56558877170002
LD,2024-03-29,-1.17933843272329,Daily NEE,66.38625033897674
LD,2024-03-30,0.12322643949367403,Daily NEE,66.50947677847041
LD,2024-03-31,-0.307212201756874,Daily NEE,66.20226457671355
LD,2024-04-01,-1.25650412690228,Daily NEE,64.94576044981126
LD,2024-04-02,0.9993684517124108,Daily NEE,65.94512890152367
LD,2024-04-03,-2.6685893827577907,Daily NEE,63.27653951876589
LD,2024-04-04,-0.4365980916994291,Daily NEE,62.83994142706646
LD,2024-04-05,-2.21278953297989,Daily NEE,60.627151894086566
LD,2024-04-06,-2.95117692184943,Daily NEE,57.675974972237135
LD,2024-04-07,-1.1107801069783403,Daily NEE,56.565194865258796
LD,2024-04-08,-1.1708523382320002,Daily NEE,55.394342527026794
LD,2024-04-09,-1.5068921526786498,Daily NEE,53.88745037434814
LD,2024-04-10,-1.6036442961613597,Daily NEE,52.28380607818678
LD,2024-04-11,1.1309138609015503,Daily NEE,53.41471993908833
LD,2024-04-12,0.5343580136660261,Daily NEE,53.94907795275436
LD,2024-04-13,-1.29783246074763,Daily NEE,52.65124549200673
LD,2024-04-14,-1.6260499642644002,Daily NEE,51.025195527742326
LD,2024-04-15,-1.7064619366401799,Daily NEE,49.318733591102145
LD,2024-04-16,-1.7505861123724897,Daily NEE,47.56814747872966
LD,2024-04-17,1.25771861077175,Daily NEE,48.8258660895014
LD,2024-04-18,-1.22830901324354,Daily NEE,47.597557076257864
LD,2024-04-19,-2.2446430663976003,Daily NEE,45.352914009860264
LD,2024-04-20,-1.4694061791383999,Daily NEE,43.88350783072186
LD,2024-04-21,-2.8853909578571106,Daily NEE,40.99811687286475
LD,2024-04-22,-2.4126166653021497,Daily NEE,38.585500207562596
LD,2024-04-23,-0.6486452879965712,Daily NEE,37.936854919566024
LD,2024-04-24,-2.5386503142603396,Daily NEE,35.398204605305686
LD,2024-04-25,-3.7201654285939303,Daily NEE,31.678039176711756
LD,2024-04-26,-3.5698345100566105,Daily NEE,28.108204666655148
LD,2024-04-27,1.9238472909800597,Daily NEE,30.032051957635208
LD,2024-04-28,3.63942738740404,Daily NEE,33.671479345039245
LD,2024-04-29,2.02247733875756,Daily NEE,35.693956683796806
LD,2024-04-30,-3.5038081931790592,Daily NEE,32.190148490617744
LD,2024-05-01,-2.12244629297272,Daily NEE,30.067702197645026
LD,2024-05-02,-3.5918273391497895,Daily NEE,26.47587485849524
LD,2024-05-03,4.039148510062191,Daily NEE,30.51502336855743
LD,2024-05-04,-4.478398113015632,Daily NEE,26.036625255541797
LD,2024-05-05,-1.63375354867397,Daily NEE,24.402871706867828
LD,2024-05-06,-4.87351191550425,Daily NEE,19.52935979136358
LD,2024-05-07,0.39634317999092705,Daily NEE,19.925702971354507
LD,2024-05-08,-3.0314032565201,Daily NEE,16.894299714834407
LD,2024-05-09,0.11586564677074102,Daily NEE,17.010165361605146
LD,2024-05-10,-4.386404272666669,Daily NEE,12.623761088938476
LD,2024-05-11,-2.91791443758809,Daily NEE,9.705846651350386
LD,2024-05-12,-4.1082255428428205,Daily NEE,5.597621108507566
LD,2024-05-13,-3.2103597984172905,Daily NEE,2.3872613100902753
LD,2024-05-14,0.6628872672390339,Daily NEE,3.0501485773293093
LD,2024-05-15,-6.1209515460019475,Daily NEE,-3.070802968672638
LD,2024-05-16,-7.0121413710925,Daily NEE,-10.082944339765138
LD,2024-05-17,-3.87740747766911,Daily NEE,-13.960351817434248
LD,2024-05-18,-5.12530576153013,Daily NEE,-19.085657578964376
LD,2024-05-19,-4.59779873035409,Daily NEE,-23.683456309318466
LD,2024-05-20,-2.9898456005771195,Daily NEE,-26.673301909895585
LD,2024-05-21,-2.7457790128300603,Daily NEE,-29.419080922725644
LD,2024-05-22,-3.2801755075200005,Daily NEE,-32.69925643024565
LD,2024-05-23,-5.323272810656509,Daily NEE,-38.02252924090216
LD,2024-05-24,-5.779507789665731,Daily NEE,-43.80203703056789
LD,2024-05-25,-4.27646032719544,Daily NEE,-48.078497357763325
LD,2024-05-26,-1.88440300633927,Daily NEE,-49.962900364102595
LD,2024-05-27,-1.0735387379999999,Daily NEE,-51.03643910210259
LD,2024-05-28,-6.98571122456935,Daily NEE,-58.02215032667194
LD,2024-05-29,-6.735205969981671,Daily NEE,-64.75735629665361
LD,2024-05-30,-6.72014862959472,Daily NEE,-71.47750492624833
LD,2024-05-31,-5.128623478577409,Daily NEE,-76.60612840482574
LD,2024-06-01,-2.66490536632552,Daily NEE,-79.27103377115125
LD,2024-06-02,-5.78851859070783,Daily NEE,-85.05955236185908
LD,2024-06-03,-6.1098634715599,Daily NEE,-91.16941583341898
LD,2024-06-04,-4.99359552281455,Daily NEE,-96.16301135623353
LD,2024-06-05,-0.12062291764043001,Daily NEE,-96.28363427387396
LD,2024-06-06,-3.15690770478789,Daily NEE,-99.44054197866184
LD,2024-06-07,-0.7553831744065399,Daily NEE,-100.19592515306839
