site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir,decision,reason
LD,1/3/25 6:00,24.215688,0.24120100000000003,0.281759,1.94771e-5,-6.114,0.439967,0,99,293.523,remove,Moderate positive winter-night NEE (24.22); immediate neighbors are low or negative (0.24/0.28); the plot shows a single threshold-exceeding excursion; signal strength is strong (99); QC flag 0; evidence remains mixed; appears to be a spike
LD,1/21/25 2:00,25.597299999999997,-22.8068,21.38129,5.47332e-5,-16.561,0.254413,1,8,270.554,remove,"Large positive winter-night NEE (25.60); sign reversal or negative neighboring flux (-22.81/21.38); the plot shows a coherent positive episode of about 2 half-hours; signal strength is very low (8); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,1/21/25 2:30,21.38129,25.597299999999997,0.573374,0,-16.614,0.239704,1,4,273.113,remove,"Moderate positive winter-night NEE (21.38); immediate neighbors are 25.60/0.57; the plot shows a coherent positive episode of about 2 half-hours; signal strength is very low (4); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/4/25 21:00,12.38267,5.3209599999999995,-5.86981,0,5.532000000000039,0.184587,0,31,121.439,keep,"Modest positive winter-night NEE (12.38); sign reversal or negative neighboring flux (5.32/-5.87); the plot shows a single threshold-exceeding excursion; signal strength is low (31); QC flag 0; u*=0.185 is at/below the provisional 0.19 review aid, so the selected U50 workflow should make the final turbulence screen; retain provisionally because low turbulence is handled by the selected U50 screening and gap-filling workflow."
LD,3/4/25 23:00,24.839,7.756454,-2.666975,0,5.532000000000039,0.277235,1,31,92.7417,remove,"Moderate positive winter-night NEE (24.84); sign reversal or negative neighboring flux (7.76/-2.67); the plot shows a single threshold-exceeding excursion; signal strength is low (31); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/5/25 1:30,16.296364999999998,-36.0196,6.98715,0,5.872000000000014,0.453596,2,14,96.3053,remove,"Moderate positive winter-night NEE (16.30); sign reversal or negative neighboring flux (-36.02/6.99); the six-hour plot is unstable/extreme (approximately -36.25 to 108.64); 1 plotted flux value(s) have |NEE| > 80; signal strength is very low (14); QC flag 2; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/5/25 5:00,27.495307,108.87016,171.60751,0,6.858000000000004,0.586794,1,17,102.324,remove,"Large positive winter-night NEE (27.50); immediate neighbors are 108.87/171.61; the six-hour plot is unstable/extreme (approximately -178.91 to 171.06); 4 plotted flux value(s) have |NEE| > 80; signal strength is very low (17); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/5/25 8:00,23.007869999999997,-50.3242,9.50445,7.28157,8.208000000000027,0.378261,1,NA,136.09,remove,"Moderate positive winter-night NEE (23.01); sign reversal or negative neighboring flux (-50.32/9.50); the six-hour plot is unstable/extreme (approximately -178.91 to 171.06); 3 plotted flux value(s) have |NEE| > 80; signal strength is unavailable; QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/5/25 19:00,30.5022258,1.94556,6.78042,1.09682,0.34700000000003683,0.889438,0,44,294.226,remove,"Large positive winter-night NEE (30.50); immediate neighbors are 1.95/6.78; the plot shows a single threshold-exceeding excursion; signal strength is low (44); QC flag 0; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/5/25 20:30,12.068539999999999,10.04842,-12.03438,0,-0.976,1.00922,1,79,295.909,keep,Modest positive winter-night NEE (12.07); sign reversal or negative neighboring flux (10.05/-12.03); the plot shows a single threshold-exceeding excursion; signal strength is strong (79); QC flag 1; plot context and diagnostics are sufficiently consistent with plausible winter nighttime respiration to retain provisionally.
LD,3/15/25 6:00,14.061325,0.55952,7.594352,0,11.811000000000035,0.254175,1,43,119.192,remove,"Modest positive winter-night NEE (14.06); immediate neighbors are 0.56/7.59; the six-hour plot is unstable/extreme (approximately -72.83 to 36.19); signal strength is low (43); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/15/25 7:30,36.3594,0.59693,4.04713,0.00162696,13.258000000000038,0.528815,0,41,136.693,remove,"Very large positive winter-night NEE (36.36); immediate neighbors are low or negative (0.60/4.05); the six-hour plot is unstable/extreme (approximately -72.83 to 36.19); signal strength is low (41); QC flag 0; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/15/25 8:30,24.49009,4.04713,-6.318304,9.65123,14.237000000000023,0.518518,1,50,166.436,remove,Moderate positive winter-night NEE (24.49); immediate neighbors are low or negative (4.05/-6.32); the plot shows a single threshold-exceeding excursion; signal strength is moderate (50); QC flag 1; unstable flux pattern
LD,3/16/25 1:30,20.993769999999998,-11.940301,-5.23396,0,5.4360000000000355,0.32226,1,69,299.236,remove,Moderate positive winter-night NEE (20.99); immediate neighbors are low or negative (-11.94/-5.23); the plot shows a single threshold-exceeding excursion; signal strength is moderate (69); QC flag 1; appears to be a spike
LD,3/19/25 20:30,17.03577,-4.6422871,1.27597,0.0845879,15.950000000000045,0.603893,1,85,183.996,keep,Moderate positive winter-night NEE (17.04); immediate neighbors are low or negative (-4.64/1.28); the plot shows a single threshold-exceeding excursion; signal strength is strong (85); QC flag 1; plot context and diagnostics are sufficiently consistent with plausible winter nighttime respiration to retain provisionally.
LD,3/19/25 21:30,28.05869,1.27597,-0.5591697,0,14.867999999999995,0.512933,1,77,149.435,remove,"Large positive winter-night NEE (28.06); immediate neighbors are low or negative (1.28/-0.56); the plot shows a single threshold-exceeding excursion; signal strength is strong (77); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/22/25 0:30,32.059000000000005,6.109775,44.480599999999995,0,7.480000000000018,0.513231,1,78,237.925,remove,"Large positive winter-night NEE (32.06); immediate neighbors are 6.11/44.48; the plot shows a coherent positive episode of about 2 half-hours; signal strength is strong (78); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/22/25 1:00,44.480599999999995,32.059000000000005,-1.68785,4.43783e-6,6.314999999999998,0.414246,1,51,243.127,remove,"Very large positive winter-night NEE (44.48); sign reversal or negative neighboring flux (32.06/-1.69); the plot shows a coherent positive episode of about 2 half-hours; signal strength is moderate (51); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/30/25 8:30,37.3292,1.3110548000000002,-32.66185,7.27234,3.7480000000000473,0.235646,1,6,90.0353,remove,"Very large positive winter-night NEE (37.33); immediate neighbors are low or negative (1.31/-32.66); the plot contains sparse surrounding data; signal strength is very low (6); QC flag 1; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/30/25 19:00,22.773743,-45.55705,-33.14554,1.98056,13.772000000000048,0.569716,0,28,208.834,remove,"Moderate positive winter-night NEE (22.77); immediate neighbors are low or negative (-45.56/-33.15); the six-hour plot is unstable/extreme (approximately -45.67 to 22.67); signal strength is low (28); QC flag 0; combined magnitude, sign pattern, signal/QC, or surrounding instability is more consistent with an artifact than plausible respiration."
LD,3/31/25 6:00,16.115173,9.469567,1.13359,0,0.17200000000002547,0.563565,1,94,295.614,keep,Moderate positive winter-night NEE (16.12); immediate neighbors are 9.47/1.13; the plot shows a single threshold-exceeding excursion; signal strength is strong (94); QC flag 1; plot context and diagnostics are sufficiently consistent with plausible winter nighttime respiration to retain provisionally.
LD,11/2/25 1:30,16.052410000000002,2.2318116,-7.9108,3.52067e-4,0.5460000000000491,0.0851334,1,39,135.365,keep,"Moderate positive winter-night NEE (16.05); immediate neighbors are low or negative (2.23/-7.91); the six-hour plot is unstable/extreme (approximately -8.04 to 73.18); signal strength is low (39); QC flag 1; u*=0.085 is at/below the provisional 0.19 review aid, so the selected U50 workflow should make the final turbulence screen; retain provisionally because low turbulence is handled by the selected U50 screening and gap-filling workflow."
