site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir,decision,reason
LD,1/11/24 19:30,-10.05347,1.2133096,3.1166549999999997,0,0.027000000000043656,0.233312,1,90,212.484,remove,Borderline-large winter-night NEE (-10.05); immediate neighbors 1.21/3.12; plot shows an isolated excursion (context -10.05 to 3.12); signal strong (90); QC 1; conflicting evidence
LD,1/14/24 21:00,-7.711454,0.5450851099999999,-0.794508,0.11111111111111112,-11.64,0.54363,1,100,205.748,keep,Modest winter-night NEE (-7.71); immediate neighbors 0.55/-0.79; plot shows an isolated excursion (context -7.71 to 1.72); signal strong (100); QC 1; preliminary keep to preserve plausible half-hourly negative variability; no decisive artifact pattern.
LD,2/7/24 19:00,-11.526071,-0.022839,-5.825584,0.00591734,4.285000000000025,0.159832,1,100,130.393,remove,Borderline-large winter-night NEE (-11.53); immediate neighbors -0.02/-5.83; plot shows a coherent run of 2 half-hours below -5 (context -11.53 to 2.33); signal strong (100); QC 1; u*=0.160 is low; the later site-specific u* scenario should handle low-turbulence screening symmetrically; conflicting evidence
LD,2/7/24 19:30,-5.825584,-11.526071,-4.292655,0,3.4770000000000323,0.185404,1,100,142.287,keep,"Modest winter-night NEE (-5.83); immediate neighbors -11.53/-4.29; plot shows a coherent run of 2 half-hours below -5 (context -11.53 to 2.33); signal strong (100); QC 1; u*=0.185 is low; the later site-specific u* scenario should handle low-turbulence screening symmetrically; preliminary keep of the raw value so u* filtering, rather than asymmetric manual censoring, determines its use."
LD,2/14/24 5:30,-7.103113,-1.081321,1.109736,0.11111111111111112,-4.95,0.101634,1,97,246.864,keep,"Modest winter-night NEE (-7.10); immediate neighbors -1.08/1.11; plot context is mixed but bounded (-7.10 to 2.24); signal strong (97); QC 1; u*=0.102 is low; the later site-specific u* scenario should handle low-turbulence screening symmetrically; preliminary keep of the raw value so u* filtering, rather than asymmetric manual censoring, determines its use."
LD,2/15/24 8:30,-16.93944,0.8977366999999999,14.8148,0.1388888888888889,-1.31,0.408703,2,89,156.909,remove,Large winter-night NEE (-16.94); immediate neighbors 0.90/14.81; plot context is unstable/extreme (-49.90 to 17.01); signal acceptable (89); QC 2; preliminary removal because magnitude and/or context provides clear artifact concern.
LD,2/17/24 2:00,-6.602527,1.6316168,1.58952,0,-6.945,0.570854,1,100,300.689,keep,Modest winter-night NEE (-6.60); immediate neighbors 1.63/1.59; plot shows an isolated excursion (context -6.60 to 11.80); signal strong (100); QC 1; preliminary keep to preserve plausible half-hourly negative variability; no decisive artifact pattern.
LD,2/22/24 5:00,-14.90158,1.3366149999999999,1.6556069999999998,1.38066e-4,1.1170000000000186,0.205318,1,98,173.684,remove,Moderately large winter-night NEE (-14.90); immediate neighbors 1.34/1.66; plot context is unstable/extreme (-14.90 to 56.85); signal strong (98); QC 1; preliminary removal because magnitude and/or context provides clear artifact concern.
LD,2/27/24 23:30,-18.13271,1.525395,-39.22497,0,16.025000000000034,0.388214,0,94,172.106,remove,Large winter-night NEE (-18.13); immediate neighbors 1.53/-39.22; plot shows a coherent run of 5 half-hours below -5 (context -39.23 to 3.78); signal strong (94); QC 0; preliminary removal because magnitude and/or context provides clear artifact concern.
LD,2/28/24 0:30,-9.38808,-39.22497,-22.19455,0,14.143000000000029,0.501348,2,60,141.412,keep,Modest winter-night NEE (-9.39); immediate neighbors -39.22/-22.19; plot shows a coherent run of 5 half-hours below -5 (context -39.23 to 7.69); signal acceptable (60); QC 2; preliminary keep to preserve plausible half-hourly negative variability; no decisive artifact pattern.
