site,DateTime,NEE_raw,NEE_lag,NEE_lead,Rg,Tair,Ustar,qc_co2_flux,signal_strength,wind_dir,decision,reason
LD,2/13/24 1:30,40.2684,-22.70459,-24.35103,0.055555556,-4.02,0.0953642,1,7,256.907,remove,"very large positive nighttime NEE (40.27); isolated between negative neighbors (-22.70/-24.35); appears as a single threshold-exceeding event; signal strength is very low (7); u*=0.095 is at/below the provisional 0.19 review aid, so the selected U50 workflow should make the final turbulence screen; plot context looks like a spike"
LD,2/15/24 9:00,14.8148,-16.93944,-49.9125,1.6944444444444444,-0.84,0.205655,2,18,191.974,remove,modest positive nighttime NEE (14.81); isolated between negative neighbors (-16.94/-49.91); appears as a single threshold-exceeding event; signal strength is very low (18); QC flag 2 adds concern; u*=0.206 is close to the provisional review aid; combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,2/28/24 5:30,16.328969999999998,2.5838998500000003,14.63382,0,-0.29,0.838265,2,56,311.396,remove,moderate positive nighttime NEE (16.33); immediate neighbors are below the review threshold (2.58/14.63); belongs to a positive candidate episode of approximately 2 half-hours; signal strength is marginal (56); QC flag 2 adds concern.
LD,2/28/24 6:00,14.63382,16.328969999999998,-10.68777,0,-1.611,0.834303,1,23,314.624,remove,modest positive nighttime NEE (14.63); sign reversal in immediate neighbors (16.33/-10.69); belongs to a positive candidate episode of approximately 2 half-hours; signal strength is very low (23); combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,3/5/24 0:30,18.15918,2.1295870000000003,2.8461923,0,15.326999999999998,0.292404,0,80,289.016,keep,moderate positive nighttime NEE (18.16); immediate neighbors are below the review threshold (2.13/2.85); appears as a single threshold-exceeding event; signal strength is acceptable (80); plot context is consistent enough with plausible nighttime respiration to retain provisionally.
LD,3/9/24 7:30,16.77235,-2.00252,7.597803000000001,5.71144,0.7560000000000286,0.542609,1,NA,308.764,remove,moderate positive nighttime NEE (16.77); sign reversal in immediate neighbors (-2.00/7.60); appears as a single threshold-exceeding event; the six-hour plot contains 1 flux value(s) with |NEE| > 80; signal strength is missing; combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,3/20/24 5:00,12.32464,114.1103,-31.40733,0,-1.5,0.31486,1,7,307.938,remove,modest positive nighttime NEE (12.32); sign reversal in immediate neighbors (114.11/-31.41); belongs to a positive candidate episode of approximately 2 half-hours; the six-hour plot contains 1 flux value(s) with |NEE| > 80; signal strength is very low (7); combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,3/26/24 2:30,13.392389999999999,2.389168,-2.48943,0,13.266999999999996,0.590668,0,80,168.76,keep,modest positive nighttime NEE (13.39); sign reversal in immediate neighbors (2.39/-2.49); appears as a single threshold-exceeding event; the six-hour plot contains 1 flux value(s) with |NEE| > 80; signal strength is acceptable (80); plot context is consistent enough with plausible nighttime respiration to retain provisionally.
LD,3/26/24 8:00,36.37855,3.797962,-14.72533,0.659168,8.737000000000023,0.818412,1,66,147.385,remove,large positive nighttime NEE (36.38); sign reversal in immediate neighbors (3.80/-14.73); appears as a single threshold-exceeding event; signal strength is acceptable (66); combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,3/26/24 9:00,28.279082,-14.72533,-25.34724,7.26895,8.887,0.81253,2,54,154.841,remove,large positive nighttime NEE (28.28); isolated between negative neighbors (-14.73/-25.35); appears as a single threshold-exceeding event; signal strength is marginal (54); QC flag 2 adds concern; combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,3/26/24 22:00,17.05561,1.66334,-9.84284,0,4.479000000000042,0.791552,2,69,234.258,remove,moderate positive nighttime NEE (17.06); sign reversal in immediate neighbors (1.66/-9.84); appears as a single threshold-exceeding event; signal strength is acceptable (69); QC flag 2 adds concern; ossilary behavior
LD,3/27/24 2:00,13.6515605,0.2995620000000001,1.7237600000000004,0,1.0649999999999977,0.818699,0,92,252.64,keep,modest positive nighttime NEE (13.65); immediate neighbors are below the review threshold (0.30/1.72); appears as a single threshold-exceeding event; signal strength is acceptable (92); plot context is consistent enough with plausible nighttime respiration to retain provisionally.
LD,3/30/24 20:30,19.43521,5.484267999999999,-5.988912,0.538641,4.286000000000001,0.219259,0,39,302.105,remove,moderate positive nighttime NEE (19.44); sign reversal in immediate neighbors (5.48/-5.99); appears as a single threshold-exceeding event; signal strength is low (39); u*=0.219 is close to the provisional review aid; isolated moderate positive excursion with low signal in a sign-reversing context.
LD,11/1/24 8:00,39.349807,4.710368,26.8606,0.0238839,5.063000000000045,0.372944,2,66,310.021,remove,large positive nighttime NEE (39.35); immediate neighbors are below the review threshold (4.71/26.86); belongs to a positive candidate episode of approximately 2 half-hours; signal strength is acceptable (66); QC flag 2 adds concern; large two-point positive episode with acceptable signal but QC 2 and sign-reversing context.
LD,11/1/24 8:30,26.8606,39.349807,-14.49807,2.08698,4.931,0.484996,2,85,306.364,remove,large positive nighttime NEE (26.86); sign reversal in immediate neighbors (39.35/-14.50); belongs to a positive candidate episode of approximately 2 half-hours; signal strength is acceptable (85); QC flag 2 adds concern;.
LD,11/2/24 2:30,19.8898948,5.60704,-5.27484,0,-0.315,0.0698762,2,20,133.614,keep,"moderate positive nighttime NEE (19.89); sign reversal in immediate neighbors (5.61/-5.27); appears as a single threshold-exceeding event; signal strength is very low (20); QC flag 2 adds concern; u*=0.070 is at/below the provisional 0.19 review aid, so the selected U50 workflow should make the final turbulence screen; plot context is consistent enough with plausible nighttime respiration to retain provisionally."
LD,11/3/24 18:30,40.78832,-11.41731,-129.064,2.69475e-4,12.66500000000002,0.481434,1,92,115.902,remove,very large positive nighttime NEE (40.79); isolated between negative neighbors (-11.42/-129.06); appears as a single threshold-exceeding event; the six-hour plot contains 3 flux value(s) with |NEE| > 80; signal strength is acceptable (92); combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,11/3/24 22:00,46.48065,-14.98678,18.18489,0,11.170000000000016,0.63123,1,91,119.738,remove,very large positive nighttime NEE (46.48); sign reversal in immediate neighbors (-14.99/18.18); belongs to a positive candidate episode of approximately 2 half-hours; the six-hour plot contains 3 flux value(s) with |NEE| > 80; signal strength is acceptable (91); combined magnitude and context are more consistent with an artifact or unstable flux episode.
LD,11/3/24 22:30,18.18489,46.48065,-0.80682,0,11.241000000000042,0.495864,2,89,120.401,remove,moderate positive nighttime NEE (18.18); sign reversal in immediate neighbors (46.48/-0.81); belongs to a positive candidate episode of approximately 2 half-hours; the six-hour plot contains 2 flux value(s) with |NEE| > 80; signal strength is acceptable (89); QC flag 2 adds concern; combined magnitude and context are more consistent with an artifact or unstable flux episode.
